=== Model information ===

Filename:     RBF.model
    51          ?    2:nonad      +   0.146 *0.854
    52          ?    2:nonad      +   0.146 *0.854
    53          ?       1:ad      +  *0.688  0.312
    54          ?    2:nonad      +   0.217 *0.783
    55          ?    2:nonad      +   0.157 *0.843
    56          ?    2:nonad      +   0.188 *0.812
    57          ?    2:nonad      +   0.185 *0.815
    58          ?    2:nonad      +   0.185 *0.815
    59          ?    2:nonad      +   0.146 *0.854
    60          ?    2:nonad      +   0.185 *0.815
    61          ?    2:nonad      +   0.185 *0.815
    62          ?    2:nonad      +   0.185 *0.815
    63          ?    2:nonad      +   0.188 *0.812
    64          ?    2:nonad      +   0.185 *0.815
    65          ?    2:nonad      +   0.185 *0.815
    66          ?    2:nonad      +   0.185 *0.815
    67          ?    2:nonad      +   0.185 *0.815
    68          ?    2:nonad      +   0.146 *0.854
    69          ?    2:nonad      +   0.185 *0.815
    70          ?    2:nonad      +   0.328 *0.672
    71          ?    2:nonad      +   0.217 *0.783
    72          ?    2:nonad      +   0.146 *0.854
    73          ?    2:nonad      +   0.185 *0.815
    74          ?    2:nonad      +   0.339 *0.661
    75          ?    2:nonad      +   0.168 *0.832
    76          ?    2:nonad      +   0.188 *0.812
    77          ?    2:nonad      +   0.19  *0.81 
    78          ?    2:nonad      +   0.339 *0.661
    79          ?    2:nonad      +   0.185 *0.815
    80          ?    2:nonad      +   0.185 *0.815
    81          ?    2:nonad      +   0.339 *0.661
    82          ?    2:nonad      +   0.185 *0.815
    83          ?    2:nonad      +   0.185 *0.815
    84          ?    2:nonad      +   0.217 *0.783
    85          ?    2:nonad      +   0.217 *0.783
    86          ?    2:nonad      +   0.146 *0.854
    87          ?    2:nonad      +   0.217 *0.783
    88          ?    2:nonad      +   0.185 *0.815
    89          ?    2:nonad      +   0.123 *0.877
    90          ?    2:nonad      +   0.186 *0.814
    91          ?    2:nonad      +   0.185 *0.815
    92          ?    2:nonad      +   0.168 *0.832
    93          ?    2:nonad      +   0.185 *0.815
    94          ?    2:nonad      +   0.146 *0.854
    95          ?    2:nonad      +   0.168 *0.832
    96          ?    2:nonad      +   0.217 *0.783
    97          ?    2:nonad      +   0.185 *0.815
    98          ?    2:nonad      +   0.185 *0.815
    99          ?    2:nonad      +   0.146 *0.854
   100          ?    2:nonad      +   0.339 *0.661
   101          ?    2:nonad      +   0.185 *0.815
   102          ?    2:nonad      +   0.217 *0.783
   103          ?    2:nonad      +   0.222 *0.778
   104          ?    2:nonad      +   0.185 *0.815
   105          ?    2:nonad      +   0.185 *0.815
   106          ?       1:ad      +  *0.892  0.108
   107          ?    2:nonad      +   0.339 *0.661
   108          ?    2:nonad      +   0.339 *0.661
   109          ?    2:nonad      +   0.185 *0.815
   110          ?    2:nonad      +   0.185 *0.815
   111          ?    2:nonad      +   0.157 *0.843
   112          ?    2:nonad      +   0.185 *0.815
   113          ?    2:nonad      +   0.186 *0.814
   114          ?    2:nonad      +   0.185 *0.815
   115          ?    2:nonad      +   0.427 *0.573
   116          ?       1:ad      +  *1      0    
   117          ?    2:nonad      +   0.157 *0.843
   118          ?    2:nonad      +   0.338 *0.662
   119          ?    2:nonad      +   0.185 *0.815
   120          ?    2:nonad      +   0.385 *0.615
   121          ?    2:nonad      +   0.185 *0.815
   122          ?    2:nonad      +   0.185 *0.815
   123          ?       1:ad      +  *0.892  0.108
   124          ?    2:nonad      +   0.146 *0.854
   125          ?    2:nonad      +   0.217 *0.783
   126          ?    2:nonad      +   0.146 *0.854
   127          ?    2:nonad      +   0.168 *0.832
   128          ?    2:nonad      +   0.339 *0.661
   129          ?    2:nonad      +   0.339 *0.661
   130          ?    2:nonad      +   0.339 *0.661
   131          ?    2:nonad      +   0.185 *0.815
   132          ?    2:nonad      +   0.146 *0.854
   133          ?    2:nonad      +   0.217 *0.783
   134          ?    2:nonad      +   0.217 *0.783
   135          ?    2:nonad      +   0.157 *0.843
   136          ?    2:nonad      +   0.146 *0.854
   137          ?    2:nonad      +   0.339 *0.661
   138          ?    2:nonad      +   0.185 *0.815
   139          ?    2:nonad      +   0.217 *0.783
   140          ?    2:nonad      +   0.217 *0.783
   141          ?    2:nonad      +   0.157 *0.843
   142          ?    2:nonad      +   0.185 *0.815
   143          ?    2:nonad      +   0.185 *0.815
   144          ?    2:nonad      +   0.157 *0.843
   145          ?    2:nonad      +   0.146 *0.854
   146          ?       1:ad      +  *0.658  0.342
   147          ?    2:nonad      +   0.185 *0.815
   148          ?    2:nonad      +   0.217 *0.783
   149          ?    2:nonad      +   0.146 *0.854
   150          ?    2:nonad      +   0.188 *0.812
   151          ?    2:nonad      +   0.185 *0.815
   152          ?    2:nonad      +   0.185 *0.815
   153          ?    2:nonad      +   0.168 *0.832
   154          ?    2:nonad      +   0.185 *0.815
   155          ?    2:nonad      +   0.217 *0.783
   156          ?    2:nonad      +   0.186 *0.814
   157          ?    2:nonad      +   0.217 *0.783
   158          ?    2:nonad      +   0.185 *0.815
   159          ?       1:ad      +  *1      0    
   160          ?    2:nonad      +   0.185 *0.815
   161          ?    2:nonad      +   0.185 *0.815
   162          ?    2:nonad      +   0.339 *0.661
   163          ?    2:nonad      +   0.185 *0.815
   164          ?    2:nonad      +   0.185 *0.815
   165          ?    2:nonad      +   0.339 *0.661
   166          ?       1:ad      +  *0.658  0.342
   167          ?    2:nonad      +   0.339 *0.661
   168          ?    2:nonad      +   0.217 *0.783
   169          ?    2:nonad      +   0.188 *0.812
   170          ?    2:nonad      +   0.185 *0.815
   171          ?    2:nonad      +   0.185 *0.815
   172          ?    2:nonad      +   0.123 *0.877
   173          ?    2:nonad      +   0.185 *0.815
   174          ?    2:nonad      +   0.339 *0.661
   175          ?    2:nonad      +   0.185 *0.815
   176          ?    2:nonad      +   0.157 *0.843
   177          ?    2:nonad      +   0.146 *0.854
   178          ?    2:nonad      +   0.339 *0.661
   179          ?    2:nonad      +   0.185 *0.815
   180          ?    2:nonad      +   0.339 *0.661
   181          ?    2:nonad      +   0.217 *0.783
   182          ?    2:nonad      +   0.185 *0.815
   183          ?    2:nonad      +   0.186 *0.814
   184          ?    2:nonad      +   0.186 *0.814
   185          ?    2:nonad      +   0.339 *0.661
   186          ?    2:nonad      +   0.185 *0.815
   187          ?    2:nonad      +   0.191 *0.809
   188          ?    2:nonad      +   0.185 *0.815
   189          ?    2:nonad      +   0.185 *0.815
   190          ?    2:nonad      +   0.157 *0.843
   191          ?    2:nonad      +   0.217 *0.783
   192          ?    2:nonad      +   0.339 *0.661
   193          ?    2:nonad      +   0.217 *0.783
   194          ?    2:nonad      +   0.168 *0.832
   195          ?    2:nonad      +   0.185 *0.815
   196          ?    2:nonad      +   0.217 *0.783
   197          ?    2:nonad      +   0.217 *0.783
   198          ?    2:nonad      +   0.185 *0.815
   199          ?    2:nonad      +   0.185 *0.815
   200          ?    2:nonad      +   0.186 *0.814
   201          ?    2:nonad      +   0.185 *0.815
   202          ?    2:nonad      +   0.185 *0.815
   203          ?    2:nonad      +   0.188 *0.812
   204          ?    2:nonad      +   0.123 *0.877
   205          ?    2:nonad      +   0.168 *0.832
   206          ?    2:nonad      +   0.146 *0.854
   207          ?    2:nonad      +   0.217 *0.783
   208          ?    2:nonad      +   0.185 *0.815
   209          ?    2:nonad      +   0.185 *0.815
   210          ?    2:nonad      +   0.185 *0.815
   211          ?    2:nonad      +   0.146 *0.854
   212          ?    2:nonad      +   0.146 *0.854
   213          ?    2:nonad      +   0.186 *0.814
   214          ?    2:nonad      +   0.185 *0.815
   215          ?    2:nonad      +   0.185 *0.815
   216          ?    2:nonad      +   0.157 *0.843
   217          ?    2:nonad      +   0.217 *0.783
   218          ?    2:nonad      +   0.339 *0.661
   219          ?    2:nonad      +   0.217 *0.783
   220          ?    2:nonad      +   0.146 *0.854
   221          ?    2:nonad      +   0.146 *0.854
   222          ?    2:nonad      +   0.187 *0.813
   223          ?    2:nonad      +   0.193 *0.807
   224          ?    2:nonad      +   0.168 *0.832
   225          ?    2:nonad      +   0.217 *0.783
   226          ?    2:nonad      +   0.185 *0.815
   227          ?    2:nonad      +   0.217 *0.783
   228          ?    2:nonad      +   0.185 *0.815
   229          ?    2:nonad      +   0.185 *0.815
   230          ?    2:nonad      +   0.168 *0.832
   231          ?    2:nonad      +   0.146 *0.854
   232          ?    2:nonad      +   0.185 *0.815
   233          ?    2:nonad      +   0.339 *0.661
   234          ?    2:nonad      +   0.217 *0.783
   235          ?    2:nonad      +   0.206 *0.794
   236          ?    2:nonad      +   0.185 *0.815
   237          ?    2:nonad      +   0.217 *0.783
   238          ?       1:ad      +  *1      0    
   239          ?    2:nonad      +   0.157 *0.843
   240          ?    2:nonad      +   0.146 *0.854
   241          ?    2:nonad      +   0.186 *0.814
   242          ?    2:nonad      +   0.146 *0.854
   243          ?    2:nonad      +   0.217 *0.783
   244          ?    2:nonad      +   0.185 *0.815
   245          ?    2:nonad      +   0.185 *0.815
   246          ?    2:nonad      +   0.157 *0.843
   247          ?    2:nonad      +   0.286 *0.714
   248          ?    2:nonad      +   0.185 *0.815
   249          ?    2:nonad      +   0.146 *0.854
   250          ?       1:ad      +  *0.892  0.108
   251          ?    2:nonad      +   0.185 *0.815
   252          ?       1:ad      +  *1      0    
   253          ?    2:nonad      +   0.186 *0.814
   254          ?    2:nonad      +   0.217 *0.783
   255          ?    2:nonad      +   0.339 *0.661
   256          ?    2:nonad      +   0.185 *0.815
   257          ?    2:nonad      +   0.185 *0.815
   258          ?    2:nonad      +   0.185 *0.815
   259          ?       1:ad      +  *0.547  0.453
   260          ?    2:nonad      +   0.217 *0.783
   261          ?    2:nonad      +   0.157 *0.843
   262          ?    2:nonad      +   0.185 *0.815
   263          ?    2:nonad      +   0.146 *0.854
   264          ?    2:nonad      +   0.339 *0.661
   265          ?    2:nonad      +   0.185 *0.815
   266          ?    2:nonad      +   0.185 *0.815
   267          ?    2:nonad      +   0.146 *0.854
   268          ?    2:nonad      +   0.185 *0.815
   269          ?    2:nonad      +   0.146 *0.854
   270          ?    2:nonad      +   0.217 *0.783
   271          ?    2:nonad      +   0.187 *0.813
   272          ?    2:nonad      +   0.217 *0.783
   273          ?    2:nonad      +   0.185 *0.815
   274          ?    2:nonad      +   0.185 *0.815
   275          ?    2:nonad      +   0.186 *0.814
   276          ?    2:nonad      +   0.168 *0.832
   277          ?    2:nonad      +   0.146 *0.854
   278          ?    2:nonad      +   0.146 *0.854
   279          ?    2:nonad      +   0.146 *0.854
   280          ?    2:nonad      +   0.392 *0.608
   281          ?    2:nonad      +   0.193 *0.807
   282          ?    2:nonad      +   0.146 *0.854
   283          ?    2:nonad      +   0.146 *0.854
   284          ?    2:nonad      +   0.185 *0.815
   285          ?    2:nonad      +   0.185 *0.815
   286          ?    2:nonad      +   0.146 *0.854
   287          ?    2:nonad      +   0.185 *0.815
   288          ?    2:nonad      +   0.146 *0.854
   289          ?    2:nonad      +   0.157 *0.843
   290          ?    2:nonad      +   0.146 *0.854
   291          ?    2:nonad      +   0.123 *0.877
   292          ?    2:nonad      +   0.188 *0.812
   293          ?    2:nonad      +   0.185 *0.815
   294          ?    2:nonad      +   0.185 *0.815
   295          ?    2:nonad      +   0.217 *0.783
   296          ?    2:nonad      +   0.185 *0.815
   297          ?       1:ad      +  *0.898  0.102
   298          ?       1:ad      +  *0.547  0.453
   299          ?    2:nonad      +   0.217 *0.783
   300          ?    2:nonad      +   0.193 *0.807

=== Summary ===

Correctly Classified Instances           1               50      %
Incorrectly Classified Instances         1               50      %
Kappa statistic                          0     
Mean absolute error                      0.5   
Root mean squared error                  0.591 
Total Number of Instances                2     
Ignored Class Unknown Instances                298     

