=== Model information ===

Filename:     rf.model
Scheme:weka.classifiers.trees.RandomForest -I 1 -K 300 -S 10
Relation:data_prep
Attributes:   1559
[list of attributes omitted]

=== Classifier model ===

Random forest of 1 trees, each constructed while considering 300 random features.
Out of bag error: 0.413



=== Re-evaluation on test set ===

User supplied test set
Relation:     data_prep_300_test
Instances:    300
Attributes:   1559

=== Predictions on test set ===

inst#,    actual, predicted, error, probability distribution
     1       1:ad       1:ad         *1      0    
   231          ?    2:nonad      +   0     *1    
   232          ?    2:nonad      +   0     *1    
   233          ?       1:ad      +  *1      0    
   234          ?    2:nonad      +   0     *1    
   235          ?    2:nonad      +   0     *1    
   236          ?    2:nonad      +   0     *1    
   237          ?    2:nonad      +   0     *1    
   238          ?    2:nonad      +   0     *1    
   239          ?    2:nonad      +   0     *1    
   240          ?    2:nonad      +   0     *1    
   241          ?    2:nonad      +   0     *1    
   242          ?    2:nonad      +   0     *1    
   243          ?    2:nonad      +   0     *1    
   244          ?    2:nonad      +   0     *1    
   245          ?    2:nonad      +   0     *1    
   246          ?    2:nonad      +   0     *1    
   247          ?    2:nonad      +   0     *1    
   248          ?    2:nonad      +   0     *1    
   249          ?    2:nonad      +   0     *1    
   250          ?    2:nonad      +   0     *1    
   251          ?    2:nonad      +   0     *1    
   252          ?       1:ad      +  *1      0    
   253          ?    2:nonad      +   0     *1    
   254          ?    2:nonad      +   0     *1    
   255          ?    2:nonad      +   0     *1    
   256          ?    2:nonad      +   0     *1    
   257          ?    2:nonad      +   0     *1    
   258          ?    2:nonad      +   0     *1    
   259          ?    2:nonad      +   0     *1    
   260          ?    2:nonad      +   0     *1    
   261          ?    2:nonad      +   0     *1    
   262          ?    2:nonad      +   0     *1    
   263          ?    2:nonad      +   0     *1    
   264          ?    2:nonad      +   0     *1    
   265          ?    2:nonad      +   0     *1    
   266          ?    2:nonad      +   0     *1    
   267          ?    2:nonad      +   0     *1    
   268          ?    2:nonad      +   0     *1    
   269          ?    2:nonad      +   0     *1    
   270          ?    2:nonad      +   0     *1    
   271          ?    2:nonad      +   0     *1    
   272          ?    2:nonad      +   0     *1    
   273          ?       1:ad      +  *1      0    
   274          ?    2:nonad      +   0     *1    
   275          ?    2:nonad      +   0     *1    
   276          ?    2:nonad      +   0     *1    
   277          ?    2:nonad      +   0     *1    
   278          ?    2:nonad      +   0     *1    
   279          ?    2:nonad      +   0     *1    
   280          ?    2:nonad      +   0     *1    
   281          ?    2:nonad      +   0     *1    
   282          ?    2:nonad      +   0     *1    
   283          ?    2:nonad      +   0     *1    
   284          ?    2:nonad      +   0     *1    
   285          ?    2:nonad      +   0     *1    
   286          ?    2:nonad      +   0     *1    
   287          ?    2:nonad      +   0     *1    
   288          ?    2:nonad      +   0     *1    
   289          ?    2:nonad      +   0     *1    
   290          ?    2:nonad      +   0     *1    
   291          ?    2:nonad      +   0     *1    
   292          ?    2:nonad      +   0     *1    
   293          ?    2:nonad      +   0     *1    
   294          ?       1:ad      +  *1      0    
   295          ?    2:nonad      +   0     *1    
   296          ?    2:nonad      +   0     *1    
   297          ?    2:nonad      +   0     *1    
   298          ?    2:nonad      +   0     *1    
   299          ?    2:nonad      +   0     *1    
   300          ?    2:nonad      +   0     *1    

=== Summary ===

Correctly Classified Instances           1               50      %
Incorrectly Classified Instances         1               50      %
Kappa statistic                          0     
Mean absolute error                      0.5   
Root mean squared error                  0.7071
Total Number of Instances                2     
Ignored Class Unknown Instances                298     

